id_ciudad,ciudad,latitud,longitud,geolabel
173,Lobos,-35.1833,-59.0833,Lobos-Argentina
174,Lomas de Zamora,-34.7667,-58.4,Lomas de Zamora-Argentina
175,Lomas del Mirador,-34.6667,-58.5297,Lomas del Mirador-Argentina
176,Longchamps,-34.85,-58.3833,Longchamps-Argentina
177,Los Polvorines,-34.5,-58.7,Los Polvorines-Argentina
178,Lujan,-34.5667,-59.1,Lujan-Argentina
179,Lujan de Cuyo,-32.998,-68.873,Lujan de Cuyo-Argentina
180,Macachin,-37.15,-63.65,Macachin-Argentina
181,Machagai,-26.9167,-60.0333,Machagai-Argentina
182,Magdalena,-35.0833,-57.5167,Magdalena-Argentina
183,Maipu,-32.9667,-68.75,Maipu-Argentina
184,Makalle,-27.2,-59.2833,Makalle-Argentina
185,Mar de Ajo,-36.7203,-56.6878,Mar de Ajo-Argentina
186,Mar del Plata,-38,-57.55,Mar del Plata-Argentina
187,Mar del Tuyu,-36.5333,-56.6667,Mar del Tuyu-Argentina
188,Marcos Juarez,-32.7,-62.1,Marcos Juarez-Argentina
189,Marcos Paz,-34.7667,-58.8333,Marcos Paz-Argentina
190,Margarita Belen,-27.2667,-58.9667,Margarita Belen-Argentina
191,Mariano Acosta,-34.7167,-58.7833,Mariano Acosta-Argentina
192,Martinez,-34.4833,-58.5,Martinez-Argentina
193,Mburucuya,-28.05,-58.2333,Mburucuya-Argentina
194,Melincue,-33.65,-61.45,Melincue-Argentina
195,Mendoza,-32.8833,-68.8167,Mendoza-Argentina
196,Mercedes,-34.65,-59.4333,Mercedes-Argentina
197,Merlo,-34.6653,-58.7275,Merlo-Argentina
198,Metan,-25.499,-64.9739,Metan-Argentina
199,Miramar,-38.2667,-57.8333,Miramar-Argentina
200,Monte Caseros,-30.25,-57.65,Monte Caseros-Argentina
201,Monte Chingolo,-34.7333,-58.35,Monte Chingolo-Argentina
202,Monte Hermoso,-38.9167,-61.55,Monte Hermoso-Argentina
203,Montecarlo,-26.5667,-54.7833,Montecarlo-Argentina
204,Monteros,-27.1667,-65.5,Monteros-Argentina
205,Moron,-34.65,-58.6167,Moron-Argentina
206,Muniz,-34.5333,-58.7,Muniz-Argentina
207,Munro,-34.5333,-58.5167,Munro-Argentina
208,Navarro,-35.0167,-59.2667,Navarro-Argentina
209,Necochea,-38.55,-58.7333,Necochea-Argentina
210,Neuquen,-38.9525,-68.0642,Neuquen-Argentina
211,Nogoya,-32.4,-59.8,Nogoya-Argentina
212,Nueve de Julio,-35.45,-60.8833,Nueve de Julio-Argentina
213,Nueve de Julio,-31.65,-68.4,Nueve de Julio-Argentina
214,Obera,-27.4833,-55.1333,Obera-Argentina
215,Olavarria,-36.9,-60.3333,Olavarria-Argentina
216,Oliva,-32.0333,-63.5667,Oliva-Argentina
